name,country,opened,seating_capacity
Shining Flower Wheel,Japan,1/1/66,64
Colossus,USA,1/1/84,320
Technostar,Japan,1/1/85,384
Texas Star,USA,1/1/85,264
Sky Wheel,Taiwan,1/1/90,400
Space Eye,Japan,1/1/90,NA
Sky Scraper,USA,1/1/91,216
Polaris Tower,S Korea,1/1/93,NA
Navy Pier Ferris Wheel,USA,7/1/95,240
Moscow-850,Russia,1/1/97,320
Tempozan Ferris Wheel,Japan,7/12/97,480
HEP Five Wheel,Japan,1/1/98,208
Daikanransha,Japan,1/1/99,384
Eurowheel,Italy,1/1/99,NA
Cosmo Clock 21,Japan,3/18/99,480
Grande Roue de Paris,France,1/1/00,NA
Roue de Paris,France,1/1/00,336
London Eye,UK,3/9/00,800
Diamond and Flower Ferris Wheel,Japan,1/1/01,408
Sky Dream Fukuoka,Japan,1/1/01,NA
Mickey's Fun Wheel,USA,2/8/01,144
Harbin Ferris Wheel,China,1/1/03,378
Shanghai Ferris Wheel,China,1/1/03,378
Zhengzhou Ferris Wheel,China,1/1/03,384
Amuran,Japan,1/1/04,NA
Miramar Ferris Wheel,Taiwan,1/1/04,288
Changsha Ferris Wheel,China,10/1/04,384
Eye of the Emirates,UAE,1/1/05,336
Mashhad Ferris Wheel,Iran,1/1/05,NA
Big O,Japan,1/1/06,NA
Star of Nanchang,China,5/5/06,480
Niagara SkyWheel,Canada,6/17/06,336
Belfast Wheel,Ireland,1/1/07,336
Eye on Malaysia (1),Malaysia,1/6/07,336
Kaohsiung Eye,Taiwan,5/12/07,NA
The Pacific Wheel,USA,1/1/08,NA
Star of Lake Tai,China,1/1/08,384
The Southern Star,Australia,1/1/08,420
Wheel of Brisbane,Australia,1/1/08,336
Singapore Flyer,Singapore,4/15/08,784
Wheel of Perth,Australia,1/1/09,216
Tianjin Eye,China,4/5/09,384
Suzhou Ferris Wheel,China,5/21/09,300
Tbilisi Ferris Wheel,Georgia,1/1/10,NA
Baghdad Eye,Iraq,1/1/11,240
Enclosed Ferris Wheel,Turkmenistan,1/1/11,144
Myrtle Beach Sky Wheel,USA,5/20/11,252
Brighton Wheel,UK,10/24/11,288
Mall of Asia Eye,Phillippines,12/18/11,216
Seattle Great Wheel,USA,6/29/12,336
360 Pensacola Beach,USA,7/3/12,252
Asiatique Sky,Tailand,12/15/12,NA
Eye on Malaysia (2),Malaysia,1/1/13,324
Great Smoky Mountain Skywheel,USA,1/1/13,336
Helsinki Wheel,Finland,1/1/13,288
High Roller,USA,1/1/13,1120
SkyVue,USA,1/1/13,768
Observation Wheel Leeds,UK,2/16/13,240
Star of Puebla,Mexico,7/8/13,432
SkyView,USA,7/16/13,252
Steel Pier Ferris Wheel,USA,1/1/14,NA
Nippon Moon,Japan,1/1/15,NA
Orlando Eye,USA,1/1/15,480
The Dubai Eye,Dubai,1/1/15,NA
New York Wheel,USA,1/1/17,1440
Wonder Wheel,USA,1/1/20,144
Chicago Wheel,USA,1/1/1893,720
Wiener Riesenrad,Austria,1/1/1897,NA
Great Wheel,UK,7/7/1895,1600
